[ 30:7:2017 17:14:21] -> T:-0 H:-0 P:-0
[ 30:7:2017 17:14:25] -> T:-0 H:-0 P:-0
[ 30:7:2017 17:47:37] -> T:0 H:0 P:0
[ 30:7:2017 17:50:45] -> Temp: 30.46     Hum:40 Press:999
[ 30:7:2017 17:53:46] -> Temp: 30.51     Hum:47 Press:999
[ 30:7:2017 22:43:59] -> Temp: 29.09     Hum:45 Press:998
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 30:7:2017 23:59:59] -> Temp:0     Hum:0 Press:0
[ 31:7:2017 8:24:10] -> Temp: 32.87     Hum:44 Press:998
[ 31:7:2017 11:49:23] -> Temp: 36.66     Hum:33 Press:998
[ 31:7:2017 11:51:57] -> Temp: 34.6     Hum:37 Press:998
[ 31:7:2017 11:57:59] -> Temp: 32.7     Hum:45 Press:998
[ 31:7:2017 11:59:11] -> Temp: 32.47     Hum:41 Press:998
[ 31:7:2017 12:4:53] -> Temp: 32.03     Hum:41 Press:998
[ 31:7:2017 12:6:22] -> Temp: 31.98     Hum:46 Press:998
[ 31:7:2017 12:39:4] -> Temp: 31.76     Hum:36 Press:998
